16;GA1.2.665761797.1580625458;Mersedes-krasnodar.ru;Znamenskiy;Krasnodar Krai;Chrome;mobile;02.02.2020;4;(not set);(not provided);organic;google;0.000567;0.000000;1;/;1;1.000000;9487.00;1;google;0.00;0;NULL;NULL;Znamenskiy;0;1;0;NULL;NULL;NULL;NULL;NULL;NULL
17;GA1.2.549721398.1510366355;Mersedes-krasnodar.ru;Znamenskiy;Krasnodar Krai;Safari;mobile;03.02.2020;2;Mersedes_Krasnodar_Poisk;NULL;cpc;google;0.000266;0.000000;1;/special/purchase/?placement=;1;1.000000;10359.00;1;google;489.00;0;NULL;NULL;Znamenskiy;0;1;0;NULL;NULL;NULL;NULL;NULL;NULL
18;GA1.2.372315202.1549443573;Mersedes-krasnodar.ru;Znamenskiy;Krasnodar Krai;Chrome;mobile;20.01.2020;4;(not set);(not provided);organic;google;0.000440;0.000000;1;/models/c200/options/;1;1.000000;25269.00;1;google;0.00;0;c200;8;Znamenskiy;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL
19;GA1.2.304954032.1581398673;Mersedes-krasnodar.ru;Znamenskiy;Krasnodar Krai;Chrome;desktop;11.02.2020;2;(not set);(not provided);organic;google;0.000000;0.000000;1;(entrance);0;0.000000;0.00;0;google;0.00;0;NULL;NULL;Znamenskiy;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL
20;GA1.2.30442711.1580751557;Mersedes-krasnodar.ru;Znamenskiy;Krasnodar Krai;Chrome;desktop;03.02.2020;8;(not set);(not provided);organic;google;0.000972;0.000000;1;/;1;1.000000;43398.00;1;google;0.00;0;NULL;NULL;Znamenskiy;0;1;0;NULL;NULL;NULL;NULL;NULL;NULL
21;GA1.2.2125278522.1579002152;Mersedes-krasnodar.ru;Znamenskiy;Krasnodar Krai;Chrome;mobile;14.01.2020;4;(not set);(not provided);organic;google;0.000150;0.000000;1;/;0;0.000000;0.00;0;google;0.00;0;NULL;NULL;Znamenskiy;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL
22;GA1.2.2105111212.1580739615;Mersedes-krasnodar.ru;Znamenskiy;Krasnodar Krai;Safari;mobile;03.02.2020;2;(not set);(not provided);organic;google;0.000000;0.000000;1;/models/e400/options/;1;1.000000;44164.00;1;google;0.00;0;e400;4;Znamenskiy;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL
23;GA1.2.2076101325.1580276840;cars.BMW-keyauto-krd.ru;Znamenskiy;Krasnodar Krai;YaBrowser;mobile;29.01.2020;2;(not set);(not set);referral;BMW-keyauto-krd.ru;0.000012;0.000000;1;/;0;0.000000;0.00;0;BMW-keyauto-krd.ru;100.00;0;NULL;NULL;Znamenskiy;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL
24;GA1.2.2076101325.1580276840;BMW-keyauto-krd.ru;Znamenskiy;Krasnodar Krai;YaBrowser;mobile;29.01.2020;16;(not set);(not set);referral;yandex.ru;0.002859;0.000000;1;/;0;0.000000;0.00;0;yandex.ru;209.00;0;NULL;NULL;Znamenskiy;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL
25;GA1.2.1933002021.1578215583;cars.BMW-keyauto-krd.ru;Znamenskiy;Krasnodar Krai;Chrome;mobile;12.01.2020;2;(not set);(not set);referral;BMW-keyauto-krd.ru;0.000000;0.000000;1;/;0;0.000000;0.00;0;BMW-keyauto-krd.ru;179.00;0;NULL;NULL;Znamenskiy;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL
26;GA1.2.1933002021.1578215583;BMW-keyauto-krd.ru;Znamenskiy;Krasnodar Krai;Chrome;mobile;12.01.2020;2;(not set);(not provided);organic;google;0.000000;0.000000;1;/;0;0.000000;0.00;0;google;0.00;0;NULL;NULL;Znamenskiy;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL
27;GA1.2.1870249653.1578400452;Mersedes-krasnodar.ru;Znamenskiy;Krasnodar Krai;Safari;mobile;07.01.2020;2;(not set);(not set);referral;yandex.ru;0.000000;0.000000;1;/models/c180/options/;0;0.000000;0.00;0;yandex.ru;115.00;0;c180;9;Znamenskiy;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL
28;GA1.2.1842772195.1578596499;Mersedes-krasnodar.ru;Znamenskiy;Krasnodar Krai;Safari;mobile;09.01.2020;2;(not set);(not set);(none);(direct);0.000000;0.000000;1;/buy/cars/;1;1.000000;23852.00;1;(direct);0.00;0;NULL;NULL;Znamenskiy;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL
29;GA1.2.1816828067.1581339408;Mersedes-krasnodar.ru;Znamenskiy;Krasnodar Krai;Chrome;desktop;10.02.2020;24;(not set);(not provided);organic;google;0.013738;0.000000;1;(entrance);1;1.000000;27615.00;1;google;0.00;0;NULL;NULL;Znamenskiy;1;1;0;NULL;NULL;NULL;NULL;NULL;NULL
30;GA1.2.1816828067.1581339408;Mersedes-krasnodar.ru;Znamenskiy;Krasnodar Krai;Chrome;desktop;11.02.2020;12;(not set);(not provided);organic;google;0.014225;0.000000;1;/;0;0.000000;0.00;0;google;0.00;0;NULL;NULL;Znamenskiy;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL
31;GA1.2.1800343555.1581771460;BMW-keyauto-krd.ru;Znamenskiy;Krasnodar Krai;YaBrowser;desktop;15.02.2020;4;(not set);(not set);referral;yandex.ru;0.000127;0.000000;1;/;0;0.000000;0.00;0;yandex.ru;138.00;0;NULL;NULL;Znamenskiy;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL
